,accommodates,bedrooms,bathrooms,beds,price,minimum_nights,maximum_nights,number_of_reviews
1766,3,1.0,1.0,2.0,75.0,3,1125,24
5233,4,2.0,1.0,0.0,140.0,1,1125,21
5623,4,2.0,1.0,2.0,70.0,2,1125,1
3458,4,0.0,1.0,2.0,59.0,4,80,3
7214,4,2.0,2.0,2.0,220.0,1,1125,1
1632,2,1.0,1.0,1.0,159.0,7,14,0
3347,2,0.0,1.0,1.0,55.0,2,1125,24
3728,4,2.0,1.0,1.0,90.0,3,1125,21
6645,2,1.0,1.0,1.0,60.0,5,1125,8
2916,2,1.0,1.0,1.0,74.0,3,30,0
413,5,2.0,1.0,5.0,147.0,2,60,311
2693,4,2.0,1.0,2.0,95.0,3,1125,0
3129,4,2.0,1.0,4.0,60.0,2,10,60
1982,3,1.0,1.0,2.0,65.0,3,1125,136
3321,2,1.0,1.0,1.0,75.0,7,90,10
3149,2,1.0,1.0,1.0,49.0,4,1125,49
773,5,3.0,1.0,6.0,190.0,2,365,121
429,4,1.0,1.0,1.0,129.0,9,300,131
4502,2,1.0,1.0,1.0,70.0,20,30,24
4713,4,1.0,1.0,1.0,65.0,2,1125,28
4729,5,2.0,1.0,4.0,99.0,6,1125,1
1039,2,1.0,1.0,1.0,50.0,8,90,13
1498,4,1.0,1.5,2.0,100.0,7,90,23
7652,2,0.0,1.0,1.0,50.0,4,30,5
4226,2,1.0,1.0,2.0,111.0,15,1124,68
1834,5,3.0,2.0,5.0,250.0,5,20,77
747,2,1.0,1.0,1.0,89.0,5,1125,20
5465,4,1.0,1.0,2.0,120.0,2,1125,42
1164,5,3.0,1.0,3.0,70.0,7,31,2
3076,4,1.0,1.0,2.0,175.0,2,500,211
7382,3,1.0,1.0,2.0,50.0,3,40,31
2208,2,1.0,1.0,1.0,88.0,3,90,75
5079,2,1.0,1.0,1.0,85.0,3,1125,15
3210,4,1.0,1.0,2.0,79.0,2,40,25
2121,5,2.0,2.0,4.0,260.0,3,365,1
3872,4,1.0,1.0,3.0,100.0,5,30,0
5277,2,1.0,1.0,1.0,225.0,4,30,8
5126,4,1.0,1.0,2.0,45.0,10,1125,13
4013,2,1.0,1.0,1.0,60.0,10,1125,0
3002,4,1.0,1.0,1.0,70.0,3,1125,77
6227,5,1.0,1.0,3.0,123.0,3,31,152
484,2,1.0,1.0,2.0,120.0,3,30,4
1558,2,1.0,1.0,1.0,82.0,3,10,30
1713,2,1.0,1.0,1.0,80.0,2,15,52
72,1,1.0,0.0,1.0,50.0,20,60,36
3832,2,1.0,1.0,1.0,68.0,2,1125,286
4733,5,2.0,1.0,2.0,120.0,2,15,67
3716,4,1.0,1.5,1.0,160.0,4,120,21
4930,4,3.0,1.0,3.0,100.0,2,1125,22
1111,2,1.0,1.0,1.0,80.0,3,1124,10
5960,2,0.0,1.0,1.0,44.0,4,365,4
2990,2,1.0,1.0,2.0,100.0,8,90,17
1848,7,4.0,1.0,4.0,350.0,7,20,47
7294,2,1.0,1.0,1.0,43.0,7,16,0
4636,3,2.0,1.0,2.0,80.0,2,1125,1
6957,2,0.0,1.0,1.0,65.0,91,1125,3
6160,1,1.0,1.0,1.0,40.0,3,14,24
1343,5,3.0,2.0,3.0,85.0,5,21,15
492,5,1.0,1.5,3.0,195.0,3,31,243
3660,2,1.0,1.0,1.0,80.0,3,1125,40
140,2,0.0,1.0,1.0,95.0,2,400,172
2392,4,1.0,1.0,1.0,240.0,1,28,12
5335,2,1.0,1.0,1.0,83.0,2,4,4
2013,2,1.0,1.0,1.0,60.0,3,30,9
761,2,1.0,1.0,1.0,98.0,2,30,12
7698,2,1.0,1.5,1.0,45.0,2,7,96
4513,4,2.0,1.0,2.0,100.0,2,1125,85
3659,2,1.0,1.0,1.0,70.0,4,100,7
5597,4,1.0,1.0,2.0,70.0,2,15,22
6725,2,1.0,1.0,1.0,95.0,2,90,85
3838,4,1.0,1.5,2.0,119.0,1,1125,59
4739,2,1.0,1.0,0.0,80.0,7,365,15
1196,2,0.0,1.0,1.0,35.0,3,6,95
2602,2,1.0,1.0,1.0,90.0,2,1125,5
6869,2,1.0,1.0,1.0,75.0,3,1125,6
6710,2,1.0,1.0,1.0,42.0,1,1125,34
5545,4,2.0,1.0,3.0,90.0,3,7,8
4702,2,1.0,1.0,1.0,67.0,2,30,60
2224,6,3.0,1.0,4.0,140.0,3,21,45
2361,4,2.0,1.0,4.0,130.0,3,20,124
7399,2,1.0,1.0,1.0,120.0,5,1125,62
1633,4,1.0,1.0,2.0,55.0,4,55,72
3364,2,1.0,1.0,1.0,60.0,3,1125,41
3042,5,2.0,1.0,0.0,80.0,4,1125,3
7733,8,4.0,3.0,4.0,400.0,5,28,0
7636,7,2.0,1.5,7.0,280.0,2,1125,7
371,2,1.0,1.0,2.0,90.0,14,365,9
752,5,3.0,1.0,4.0,250.0,5,30,67
5884,2,0.0,1.0,1.0,68.0,2,1125,292
6054,2,1.0,1.0,1.0,59.0,2,1125,3
1205,1,0.0,1.0,1.0,39.0,265,1125,0
1615,2,1.0,1.0,1.0,200.0,5,62,150
4989,5,1.0,1.0,5.0,90.0,2,15,40
805,4,1.0,1.0,2.0,55.0,3,30,123
3343,2,0.0,1.0,1.0,83.0,3,1125,184
2127,4,2.0,2.0,2.0,125.0,2,1125,323
191,2,1.0,1.0,1.0,69.0,3,30,299
4656,2,1.0,1.0,1.0,57.0,3,8,82
5830,2,1.0,1.0,1.0,80.0,3,11,3
675,6,3.0,2.0,3.0,320.0,6,30,35
1662,2,1.0,1.0,0.0,62.0,1,180,376
7788,4,2.0,1.0,4.0,175.0,6,1125,2
1370,2,1.0,1.0,1.0,56.0,4,15,31
4271,2,1.0,1.0,1.0,57.0,2,31,293
5634,4,1.0,1.5,3.0,44.0,2,7,1
447,3,1.0,1.0,2.0,245.0,2,30,3
7498,2,0.0,1.0,1.0,55.0,2,7,11
5681,2,1.0,1.0,1.0,44.0,3,1125,20
6393,4,1.0,1.5,2.0,50.0,1,1125,0
1975,2,1.0,1.0,1.0,60.0,20,1125,0
2315,1,1.0,1.0,1.0,122.0,31,62,0
1029,3,1.0,1.0,2.0,45.0,3,31,13
5047,4,2.0,1.0,3.0,100.0,4,60,0
3365,2,0.0,1.0,1.0,60.0,1,31,18
3202,2,1.0,1.0,1.0,59.0,2,365,34
4815,4,2.0,1.0,2.0,345.0,5,10,188
2493,2,1.0,1.0,1.0,95.0,6,1125,59
1130,6,2.0,1.0,2.0,120.0,7,30,7
1886,2,2.0,1.0,2.0,70.0,2,14,1
6115,2,1.0,1.0,1.0,69.0,1,365,280
422,4,1.0,1.0,3.0,190.0,2,26,18
3401,4,2.0,1.0,0.0,160.0,6,15,12
4838,2,0.0,1.0,1.0,130.0,3,100,183
401,4,2.0,1.0,2.0,365.0,4,45,35
37,2,1.0,1.0,1.0,120.0,6,12,69
1168,2,1.0,1.0,1.0,90.0,2,365,63
4995,2,1.0,1.0,1.0,50.0,2,1125,0
1454,2,1.0,1.0,1.0,100.0,2,7,39
4830,1,1.0,1.0,1.0,34.0,250,360,22
5565,3,1.0,1.0,0.0,79.0,2,21,213
6424,4,0.0,1.0,2.0,69.0,3,1125,0
7106,2,1.0,1.0,1.0,72.0,3,1125,21
2833,3,1.0,2.0,1.0,280.0,4,1125,2
4176,4,1.0,1.0,2.0,40.0,5,35,22
2770,6,2.0,1.0,4.0,240.0,3,365,21
2513,4,2.0,1.0,2.0,120.0,4,40,16
2228,2,1.0,1.0,1.0,62.0,2,32,38
7485,2,1.0,1.0,1.0,150.0,5,14,1
375,6,2.0,1.0,0.0,175.0,2,120,252
3993,6,3.0,1.0,4.0,180.0,3,365,33
1421,2,0.0,1.0,1.0,90.0,2,365,181
3320,4,1.0,1.0,2.0,95.0,3,1125,70
4823,2,1.0,1.0,1.0,150.0,2,1125,7
261,2,1.0,1.0,1.0,85.0,3,30,119
2753,1,1.0,1.0,1.0,60.0,2,60,41
963,3,1.0,1.0,2.0,80.0,7,30,10
1611,4,0.0,1.0,2.0,70.0,6,100,27
3533,2,1.0,1.0,1.0,80.0,10,1000,28
1132,2,1.0,1.0,2.0,42.0,15,120,4
6366,3,1.0,1.0,2.0,99.0,3,15,22
4470,4,1.0,1.0,2.0,75.0,2,1125,30
2452,8,4.0,1.5,4.0,220.0,4,21,4
6035,2,1.0,1.0,1.0,50.0,2,5,101
4069,2,1.0,1.0,2.0,14.0,2,1125,217
6066,7,2.0,1.0,3.0,180.0,2,15,27
6185,2,1.0,1.0,1.0,75.0,3,30,108
2572,5,2.0,1.0,2.0,85.0,7,21,0
1901,4,1.0,1.0,2.0,140.0,3,180,84
657,4,1.0,1.0,3.0,85.0,1,1125,436
6585,4,1.0,0.0,2.0,63.0,1,1125,0
3298,8,3.0,2.0,3.0,203.0,2,1125,17
5089,2,1.0,1.0,1.0,39.0,3,31,1
6756,2,1.0,1.0,1.0,54.0,4,1125,2
2573,6,3.0,1.0,4.0,155.0,3,20,76
7038,4,1.0,1.0,0.0,100.0,30,1125,18
2133,3,1.0,1.0,1.0,48.0,2,365,43
